Nom du joueur X;Nom du joueur O;Gagnant;Perdant;Match nul ?;Nombre de tours;Temps de jeu
-;-;x;o;Non;5;4 secondes
-;-;o;None;Non;8;11 secondes
-;-;x;o;Non;5;6 secondes
-;-;x;o;Non;5;11 secondes
-;-;x;o;Non;5;19 secondes
-;-;x;o;Non;5;33 secondes
-;-;x;o;Non;5;3 secondes
-;-;x;o;Non;5;9 secondes
-;-;x;o;Non;5;4 secondes
-;-;x;o;Non;5;9 secondes
-;-;x;o;Non;5;3 secondes
-;-;x;o;Non;5;4 secondes
-;-;x;o;Non;5;8 secondes
-;-;x;o;Non;5;7 secondes
-;-;x;o;Non;5;4 secondes
-;-;x;o;Non;5;4 secondes
-;-;x;o;Non;5;23 secondes
-;-;x;o;Non;5;38 secondes
-;-;x;o;Non;5;13 secondes
-;-;o;x;Non;6;8 secondes
-;-;-;-;Oui;9;16 secondes
-;-;x;o;Non;7;20 secondes
-;-;x;o;Non;5;28 secondes
-;-;o;x;Non;6;30 secondes
-;-;x;o;Non;9;6 secondes
-;-;o;x;Non;6;8 secondes
-;-;x;o;Non;5;3 secondes
-;-;x;o;Non;5;3 secondes
-;-;x;o;Non;5;4 secondes
-;-;x;o;Non;5;34 secondes
-;-;x;o;Non;9;9 secondes
-;-;x;o;Non;5;3 secondes
-;-;x;o;Non;5;7 secondes
-;-;x;o;Non;5;4 secondes
-;-;x;o;Non;5;3 secondes
-;-;x;o;Non;5;4 secondes
